word_1,def_1-1,def_1-2,def_1-3,def_1-4,def_1-5,def_1-6,def_1-7,word_2,def_2-1,def_2-2,def_2-3,def_2-4,def_2-5,def_2-6,def_2-7
bounty,"<crowd-radio-button name="def_1-0" value="def_1-0">payment or reward (especially from a government) for acts such as catching criminals or killing predatory animals or enlisting in the military</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">the property of copious abundance</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">generosity evidenced by a willingness to give freely</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">a ship of the British navy; in 1789 part of the crew mutinied against their commander William Bligh and set him afloat in an open boat</crowd-radio-button>",o,o,o,war,"<crowd-radio-button name="def_2-0" value="def_2-0">the waging of armed conflict against an enemy</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">a legal state created by a declaration of war and ended by official declaration during which the international rules of war apply</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">an active struggle between competing entities</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">a concerted campaign to end something that is injurious</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">make or wage war</crowd-radio-button>",o,o
hen,"<crowd-radio-button name="def_1-0" value="def_1-0">adult female chicken</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">adult female bird</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">flesh of an older chicken suitable for stewing</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">female of certain aquatic animals e.g. octopus or lobster</crowd-radio-button>",o,o,o,laying,"<crowd-radio-button name="def_2-0" value="def_2-0">the production of eggs (especially in birds)</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">put into a certain place or abstract location</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">put in a horizontal position</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">prepare or position for action or operation</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">lay eggs</crowd-radio-button>","<crowd-radio-button name="def_2-5" value="def_2-5">impose as a duty, burden, or punishment</crowd-radio-button>",o
dabble,"<crowd-radio-button name="def_1-0" value="def_1-0">dip a foot or hand briefly into a liquid</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">play in or as if in water, as of small children</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">work with in an amateurish manner</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">bob forward and under so as to feed off the bottom of a body of water</crowd-radio-button>",o,o,o,limb,"<crowd-radio-button name="def_2-0" value="def_2-0">one of the jointed appendages of an animal used for locomotion or grasping: arm; leg; wing; flipper</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">any of the main branches arising from the trunk or a bough of a tree</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">(astronomy) the circumferential edge of the apparent disc of the sun or the moon or a planet</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">either of the two halves of a bow from handle to tip</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">the graduated arc that is attached to an instrument for measuring angles</crowd-radio-button>","<crowd-radio-button name="def_2-5" value="def_2-5">any projection that is thought to resemble a human arm</crowd-radio-button>",o
chartreuse,"<crowd-radio-button name="def_1-0" value="def_1-0">aromatic green or yellow liqueur flavored with orange peel and hyssop and peppermint oils; made at monastery near Grenoble, France</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">a shade of green tinged with yellow</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">of something having the yellowish green color of Chartreuse liqueur</crowd-radio-button>",o,o,o,o,arts,"<crowd-radio-button name="def_2-0" value="def_2-0">studies intended to provide general knowledge and intellectual skills (rather than occupational or professional skills)</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">the products of human creativity; works of art collectively</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">the creation of beautiful or significant things</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">a superior skill that you can learn by study and practice and observation</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">photographs or other visual representations in a printed publication</crowd-radio-button>",o,o
foundation,"<crowd-radio-button name="def_1-0" value="def_1-0">the basis on which something is grounded</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">an institution supported by an endowment</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">lowest support of a structure</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">education or instruction in the fundamentals of a field of knowledge</crowd-radio-button>","<crowd-radio-button name="def_1-4" value="def_1-4">the fundamental assumptions from which something is begun or developed or calculated or explained</crowd-radio-button>","<crowd-radio-button name="def_1-5" value="def_1-5">a woman's undergarment worn to give shape to the contours of the body</crowd-radio-button>","<crowd-radio-button name="def_1-6" value="def_1-6">the act of starting something for the first time; introducing something new</crowd-radio-button>",structure,"<crowd-radio-button name="def_2-0" value="def_2-0">a thing constructed; a complex entity constructed of many parts</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">the manner of construction of something and the arrangement of its parts</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">the complex composition of knowledge as elements and their combinations</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">a particular complex anatomical part of a living thing</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">the people in a society considered as a system organized by a characteristic pattern of relationships</crowd-radio-button>","<crowd-radio-button name="def_2-5" value="def_2-5">give a structure to</crowd-radio-button>",o
coin,"<crowd-radio-button name="def_1-0" value="def_1-0">a flat metal piece (usually a disc) used as money</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">make up</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">form by stamping, punching, or printing</crowd-radio-button>",o,o,o,o,fountain,"<crowd-radio-button name="def_2-0" value="def_2-0">a structure from which an artificially produced jet of water arises</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">a natural flow of ground water</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">an artificially produced flow of water</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">a plumbing fixture that provides a flow of water</crowd-radio-button>",o,o,o
fiddler,"<crowd-radio-button name="def_1-0" value="def_1-0">a musician who plays the violin</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">someone who manipulates in a nervous or unconscious manner</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">an unskilled person who tries to fix or mend</crowd-radio-button>",o,o,o,o,roof,"<crowd-radio-button name="def_2-0" value="def_2-0">a protective covering that covers or forms the top of a building</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">protective covering on top of a motor vehicle</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">the inner top surface of a covered area or hollow space</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">an upper limit on what is allowed</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">provide a building with a roof; cover a building with a roof</crowd-radio-button>",o,o
interpreter,"<crowd-radio-button name="def_1-0" value="def_1-0">someone who mediates between speakers of different languages</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">someone who uses art to represent something</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">an advocate who represents someone else's policy or purpose</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">(computer science) a program that translates and executes source language statements one line at a time</crowd-radio-button>",o,o,o,person,"<crowd-radio-button name="def_2-0" value="def_2-0">a human being</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">a human body (usually including the clothing)</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">a grammatical category used in the classification of pronouns, possessive determiners, and verb forms according to whether they indicate the speaker, the addressee, or a third party</crowd-radio-button>",o,o,o,o
rave,"<crowd-radio-button name="def_1-0" value="def_1-0">a dance party that lasts all night and electronically synthesized music is played</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">an extravagantly enthusiastic review</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">participate in an all-night techno dance party</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">talk in a noisy, excited, or declamatory manner</crowd-radio-button>","<crowd-radio-button name="def_1-4" value="def_1-4">praise enthusiastically</crowd-radio-button>",o,o,wildly,"<crowd-radio-button name="def_2-0" value="def_2-0">to an extreme or greatly exaggerated degree</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">in an uncontrolled or unrestrained manner</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">with violent and uncontrollable passion</crowd-radio-button>",o,o,o,o
saucers,"<crowd-radio-button name="def_1-0" value="def_1-0">something with a round shape resembling a flat circular plate</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">a small shallow dish for holding a cup at the table</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">directional antenna consisting of a parabolic reflector for microwave or radio frequency radiation</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">a disk used in throwing competitions</crowd-radio-button>",o,o,o,discs,"<crowd-radio-button name="def_2-0" value="def_2-0">sound recording consisting of a disk with a continuous groove; used to reproduce music by rotating while a phonograph needle tracks in the groove</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">something with a round shape resembling a flat circular plate</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">(computer science) a memory device consisting of a flat disk covered with a magnetic coating on which information is stored</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">a flat circular plate</crowd-radio-button>",o,o,o
reversible,"<crowd-radio-button name="def_1-0" value="def_1-0">a garment (especially a coat) that can be worn inside out (with either side of the cloth showing)</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">capable of reversing or being reversed</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">capable of being reversed or used with either side out</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">capable of being reversed</crowd-radio-button>","<crowd-radio-button name="def_1-4" value="def_1-4">capable of assuming or producing either of two states</crowd-radio-button>",o,o,physics,"<crowd-radio-button name="def_2-0" value="def_2-0">the science of matter and energy and their interactions</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">the physical properties, phenomena, and laws of something</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">a purging medicine; stimulates evacuation of the bowels</crowd-radio-button>",o,o,o,o
matrix,"<crowd-radio-button name="def_1-0" value="def_1-0">(mathematics) a rectangular array of quantities or expressions set out by rows and columns; treated as a single element and manipulated according to rules</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">(geology) amass of fine-grained rock in which fossils, crystals, or gems are embedded</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">an enclosure within which something originates or develops (from the Latin for womb)</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">the body substance in which tissue cells are embedded</crowd-radio-button>","<crowd-radio-button name="def_1-4" value="def_1-4">the formative tissue at the base of a nail</crowd-radio-button>","<crowd-radio-button name="def_1-5" value="def_1-5">mold used in the production of phonograph records, type, or other relief surface</crowd-radio-button>",o,subdue,"<crowd-radio-button name="def_2-0" value="def_2-0">put down by force or intimidation</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">to put down by force or authority</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">hold within limits and control</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">get on top of; deal with successfully</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">make subordinate, dependent, or subservient</crowd-radio-button>","<crowd-radio-button name="def_2-5" value="def_2-5">correct by punishment or discipline</crowd-radio-button>",o
celluloid,"<crowd-radio-button name="def_1-0" value="def_1-0">highly flammable substance made from cellulose nitrate and camphor; used in e.g. motion-picture and X-ray film; its use has decreased with the development of nonflammable thermoplastics</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">a medium that disseminates moving pictures</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">artificial as if portrayed in a film</crowd-radio-button>",o,o,o,o,cell,"<crowd-radio-button name="def_2-0" value="def_2-0">any small compartment</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">(biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as in monads) or may form colonies or tissues as in higher plants and animals</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">a device that delivers an electric current as the result of a chemical reaction</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">a small unit serving as part of or as the nucleus of a larger political movement</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">a hand-held mobile radiotelephone for use in an area divided into small sections, each with its own short-range transmitter/receiver</crowd-radio-button>","<crowd-radio-button name="def_2-5" value="def_2-5">small room in which a monk or nun lives</crowd-radio-button>","<crowd-radio-button name="def_2-6" value="def_2-6">a room where a prisoner is kept</crowd-radio-button>"
concretion,"<crowd-radio-button name="def_1-0" value="def_1-0">the formation of stonelike objects within a body organ (e.g., the kidneys)</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">a hard lump produced by the concretion of mineral salts; found in hollow organs or ducts of the body</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">an increase in the density of something</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">the union of diverse things into one body or form or group; the growing together of parts</crowd-radio-button>",o,o,o,calculus,"<crowd-radio-button name="def_2-0" value="def_2-0">a hard lump produced by the concretion of mineral salts; found in hollow organs or ducts of the body</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">an incrustation that forms on the teeth and gums</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">the branch of mathematics that is concerned with limits and with the differentiation and integration of functions</crowd-radio-button>",o,o,o,o
wholesale,"<crowd-radio-button name="def_1-0" value="def_1-0">the selling of goods to merchants; usually in large quantities for resale to consumers</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">sell in large quantities</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">ignoring distinctions</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">at a wholesale price</crowd-radio-button>","<crowd-radio-button name="def_1-4" value="def_1-4">on a large scale without careful discrimination</crowd-radio-button>",o,o,bulk,"<crowd-radio-button name="def_2-0" value="def_2-0">the property resulting from being or relating to the greater in number of two parts; the main part</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">the property of something that is great in magnitude</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">the property possessed by a large mass</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">stick out or up</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">cause to bulge or swell outwards</crowd-radio-button>",o,o
pats,"<crowd-radio-button name="def_1-0" value="def_1-0">the sound made by a gentle blow</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">a light touch or stroke</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">pat or squeeze fondly or playfully, especially under the chin</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">hit lightly</crowd-radio-button>",o,o,o,pat,"<crowd-radio-button name="def_2-0" value="def_2-0">the sound made by a gentle blow</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">a light touch or stroke</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">pat or squeeze fondly or playfully, especially under the chin</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">hit lightly</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">having only superficial plausibility</crowd-radio-button>","<crowd-radio-button name="def_2-5" value="def_2-5">exactly suited to the occasion</crowd-radio-button>","<crowd-radio-button name="def_2-6" value="def_2-6">completely or perfectly</crowd-radio-button>"
attempted,"<crowd-radio-button name="def_1-0" value="def_1-0">make an effort or attempt</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">enter upon an activity or enterprise</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">tried unsuccessfully</crowd-radio-button>",o,o,o,o,attempt,"<crowd-radio-button name="def_2-0" value="def_2-0">earnest and conscientious activity intended to do or accomplish something</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">the act of attacking</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">make an effort or attempt</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">enter upon an activity or enterprise</crowd-radio-button>",o,o,o
ionic,"<crowd-radio-button name="def_1-0" value="def_1-0">the dialect of Ancient Greek spoken and written in Attica and Athens and Ionia</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">containing or involving or occurring in the form of ions</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">of or pertaining to the Ionic order of classical Greek architecture</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">of or relating to Ionia or its inhabitants or its language</crowd-radio-button>",o,o,o,greek,"<crowd-radio-button name="def_2-0" value="def_2-0">the Hellenic branch of the Indo-European family of languages</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">a native or inhabitant of Greece</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">of or relating to or characteristic of Greece or the Greeks or the Greek language</crowd-radio-button>",o,o,o,o
thwarting,"<crowd-radio-button name="def_1-0" value="def_1-0">an act of hindering someone's plans or efforts</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">hinder or prevent (the efforts, plans, or desires) of</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">preventing realization or attainment of a desire</crowd-radio-button>",o,o,o,o,frustration,"<crowd-radio-button name="def_2-0" value="def_2-0">the feeling that accompanies an experience of being thwarted in attaining your goals</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">an act of hindering someone's plans or efforts</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">a feeling of annoyance at being hindered or criticized</crowd-radio-button>",o,o,o,o
apology,"<crowd-radio-button name="def_1-0" value="def_1-0">an expression of regret at having caused trouble for someone</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">a formal written defense of something you believe in strongly</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">a poor example</crowd-radio-button>",o,o,o,o,sorry,"<crowd-radio-button name="def_2-0" value="def_2-0">feeling or expressing regret or sorrow or a sense of loss over something done or undone</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">bad; unfortunate</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">without merit</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">causing dejection</crowd-radio-button>",o,o,o
food,"<crowd-radio-button name="def_1-0" value="def_1-0">any substance that can be metabolized by an animal to give energy and build tissue</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">any solid substance (as opposed to liquid) that is used as a source of nourishment</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">anything that provides mental stimulus for thinking</crowd-radio-button>",o,o,o,o,fodder,"<crowd-radio-button name="def_2-0" value="def_2-0">soldiers who are regarded as expendable in the face of artillery fire</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">coarse food (especially for livestock) composed of entire plants or the leaves and stalks of a cereal crop</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">give fodder (to domesticated animals)</crowd-radio-button>",o,o,o,o
tribe,"<crowd-radio-button name="def_1-0" value="def_1-0">a social division of (usually preliterate) people</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">a federation (as of American Indians)</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">(biology) a taxonomic category between a genus and a subfamily</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">group of people related by blood or marriage</crowd-radio-button>",o,o,o,group,"<crowd-radio-button name="def_2-0" value="def_2-0">any number of entities (members) considered as a unit</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">(chemistry) two or more atoms bound together as a single unit and forming part of a molecule</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">a set that is closed, associative, has an identity element and every element has an inverse</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">arrange into a group or groups</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">form a group or group together</crowd-radio-button>",o,o
trample,"<crowd-radio-button name="def_1-0" value="def_1-0">the sound of heavy treading or stomping</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">tread or stomp heavily or roughly</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">injure by trampling or as if by trampling</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">walk on and flatten</crowd-radio-button>",o,o,o,injury,"<crowd-radio-button name="def_2-0" value="def_2-0">any physical damage to the body caused by violence or accident or fracture etc.</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">an accident that results in physical damage or hurt</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">a casualty to military personnel resulting from combat</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">an act that causes someone or something to receive physical damage</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">wrongdoing that violates another's rights and is unjustly inflicted</crowd-radio-button>",o,o
flutes,"<crowd-radio-button name="def_1-0" value="def_1-0">a high-pitched woodwind instrument; a slender tube closed at one end with finger holes on one end and an opening near the closed end across which the breath is blown</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">a tall narrow wineglass</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">a groove or furrow in cloth etc (particularly a shallow concave groove on the shaft of a column)</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">form flutes in</crowd-radio-button>",o,o,o,cabinet,"<crowd-radio-button name="def_2-0" value="def_2-0">a piece of furniture resembling a cupboard with doors and shelves and drawers; for storage or display</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">persons appointed by a head of state to head executive departments of government and act as official advisers</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">a storage compartment for clothes and valuables; usually it has a lock</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">housing for electronic instruments, as radio or television</crowd-radio-button>",o,o,o
waft,"<crowd-radio-button name="def_1-0" value="def_1-0">a long flag; often tapering</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">be driven or carried along, as by the air</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">blow gently</crowd-radio-button>",o,o,o,o,breeze,"<crowd-radio-button name="def_2-0" value="def_2-0">a slight wind (usually refreshing)</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">any undertaking that is easy to do</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">blow gently and lightly</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">to proceed quickly and easily</crowd-radio-button>",o,o,o
purport,"<crowd-radio-button name="def_1-0" value="def_1-0">the intended meaning of a communication</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">the pervading meaning or tenor</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">have the often specious appearance of being, intending, or claiming</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">propose or intend</crowd-radio-button>",o,o,o,intention,"<crowd-radio-button name="def_2-0" value="def_2-0">an anticipated outcome that is intended or that guides your planned actions</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">(usually plural) the goal with respect to a marriage proposal</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">an act of intending; a volition that you intend to carry out</crowd-radio-button>",o,o,o,o
dislocation,"<crowd-radio-button name="def_1-0" value="def_1-0">an event that results in a displacement or discontinuity</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">the act of disrupting an established order so it fails to continue</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">a displacement of a part (especially a bone) from its normal position (as in the shoulder or the vertebral column)</crowd-radio-button>",o,o,o,o,displacing,"<crowd-radio-button name="def_2-0" value="def_2-0">cause to move, usually with force or pressure</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">take the place of or have precedence over</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">terminate the employment of; discharge from an office or position</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">cause to move or shift into a new position or place, both in a concrete and in an abstract sense</crowd-radio-button>",o,o,o
tolerated,"<crowd-radio-button name="def_1-0" value="def_1-0">put up with something or somebody unpleasant</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">recognize and respect (rights and beliefs of others)</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">have a tolerance for a poison or strong drug or pathogen or environmental condition</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">allow the presence of or allow (an activity) without opposing or prohibiting</crowd-radio-button>",o,o,o,endured,"<crowd-radio-button name="def_2-0" value="def_2-0">put up with something or somebody unpleasant</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">face and withstand with courage</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">continue to live through hardship or adversity</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">undergo or be subjected to</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">last and be usable</crowd-radio-button>","<crowd-radio-button name="def_2-5" value="def_2-5">persist for a specified period of time</crowd-radio-button>","<crowd-radio-button name="def_2-6" value="def_2-6">continue to exist</crowd-radio-button>"
coma,"<crowd-radio-button name="def_1-0" value="def_1-0">a state of deep and often prolonged unconsciousness; usually the result of disease or injury</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">(botany) a usually terminal tuft of bracts (as in the pineapple) or tuft of hairs (especially on certain seeds)</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">(astronomy) the luminous cloud of particles surrounding the frozen nucleus of a comet; forms as the comet approaches the sun and is warmed</crowd-radio-button>",o,o,o,o,dust,"<crowd-radio-button name="def_2-0" value="def_2-0">fine powdery material such as dry earth or pollen that can be blown about in the air</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">the remains of something that has been destroyed or broken up</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">free microscopic particles of solid material</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">remove the dust from</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">rub the dust over a surface so as to blur the outlines of a shape</crowd-radio-button>","<crowd-radio-button name="def_2-5" value="def_2-5">cover with a light dusting of a substance</crowd-radio-button>","<crowd-radio-button name="def_2-6" value="def_2-6">distribute loosely</crowd-radio-button>"
